target_id,attribute,entity,target_type,accuracy_score,skill_score,applicable_run_pass,applicable_custom,applicable_roles,internal_agreement_score,label_agreement_score,fai_agreement_score
lead_run,lead_run,play,boolean,0.9824,0.8708,RUN,,,,,
cross_lead_run,cross_lead_run,play,boolean,0.9864,0.8054,RUN,,,,,
split_run,split_run,play,boolean,0.9756,0.8321,RUN,,,,,
pitch_run,pitch_run,play,boolean,0.9977,0.9605,RUN,,,,,
formation_right,formation_right,play,categorical,0.9922,0.9792,,,,,,
formation_unbalanced,formation_unbalanced,play,boolean,0.9966,0.0498,,,,,,
back_alignment,back_alignment,play,categorical,0.991,0.9611,,,,,,
qb_alignment,qb_alignment,play,categorical,0.9964,0.9867,,,,,,
trick_look,trick_look,play,boolean,0.9854,0.8609,,,,,,
mof_coverage_look,middle_of_field_coverage_look,play,categorical,0.9178,0.7606,,,,,,
play_type_intent,run_pass_intent,play,categorical,0.9985,0.9951,,,,,,
screen,screen,play,boolean,0.9956,0.9258,,,,,,
play_action,play_action,play,boolean,0.9872,0.9258,,,,,,
rpo,run_pass_option,play,boolean,0.9765,0.7697,,,,,,
draw,draw,play,boolean,0.9983,0.881,,,,,,
trick_played,trick_played,play,boolean,0.9953,0.8059,,,,,,
stunt,stunt,play,boolean,0.9635,0.7864,,,,,,
blitz,blitz,play,boolean,0.9628,0.822,,,,,,
pass_outcome,pass_outcome,play,categorical,0.9983,0.9952,PASS,,,,,
dropback_depth,dropback_depth,play,continuous,,0.8521,PASS,,,,,
epa_frame,expected_points_added,frame,continuous,,0.3553,,,,,,
epa_success_frame,expected_points_added_success,frame,boolean,0.7337,0.3431,,,,,,
play_type_intent_frame,run_pass_intent,frame,categorical,0.9631,0.8863,,,,,,
screen_frame,screen,frame,boolean,0.9818,0.7272,,,,,,
time_to_pressure_frame,time_to_pressure,frame,continuous,,0.4885,PASS,qb_pressured,,,,
qb_scramble_frame,qb_scramble,frame,boolean,0.9691,0.4609,PASS,,,,,
coverage_scheme_frame,coverage_scheme,frame,categorical,0.7211,0.5178,PASS,,,,,
man_zone_coverage_frame,man_zone_coverage,frame,categorical,0.8753,0.639,PASS,,,,,
team_side,team_side,player_play,categorical,0.9999,0.9997,,,,,,
alignment,alignment,player_play,categorical,0.9591,0.9352,,,,,,
alignment_side,alignment_side,player_play,categorical,0.9912,0.9788,,,,,,
role,role,player_play,categorical,0.9945,0.9899,,,,,,
grade_numerical,grade,player_play,continuous,,0.5916,,,,,,
grade,grade_cat,player_play,categorical,0.9071,0.5035,,,,,,
interception,interception_thrown,player_play,boolean,0.9996,0.9798,,,['PASS'],,,
mof_coverage_played_frame,middle_of_field_coverage_played,frame,categorical,0.9142,0.7358,PASS,,,,,
pass_depth_frame,target_depth,frame,continuous,,0.5374,PASS,throw,,,,
pass_width_frame,target_width,frame,continuous,,0.618,PASS,throw,,,,
play_action_frame,play_action,frame,boolean,0.9588,0.7902,,,,,,
rpo_frame,run_pass_option,frame,boolean,0.965,0.6443,,,,,,
draw_frame,draw,frame,boolean,0.9963,0.7055,,,,,,
run_gap_intent_side,run_gap_intent_side,play,categorical,0.9279,0.8011,RUN,,,,,
run_gap_outcome,run_gap_outcome,play,categorical,0.8362,0.692,RUN,,,,,
run_gap_outcome_side,run_gap_outcome_side,play,categorical,0.9631,0.8973,RUN,,,,,
run_gap_changed,run_gap_changed,play,boolean,0.8884,0.3301,RUN,,,,,
run_gap_change_forced,run_gap_change_forced,play,boolean,0.9015,0.2913,RUN,,,,,
run_side,run_side,play,categorical,0.9726,0.9226,RUN,,,,,
misdirection_run,misdirection_run,play,boolean,0.9843,-0.9353,RUN,,,,,
backside_fold_run,backside_fold_run,play,boolean,0.9978,0.0162,RUN,,,,,
run_concept_frame,run_concept,frame,categorical,0.8478,0.7413,RUN,,,,,
designed_qb_run_frame,designed_qb_run,frame,boolean,0.9939,0.7628,RUN,,,,,
jet_sweep_run_frame,jet_sweep_run,frame,boolean,0.9969,0.8318,RUN,,,,,
reverse_run_frame,reverse_run,frame,boolean,0.9989,0.5881,RUN,,,,,
yards_gained,yards_gained,play,continuous,,0.9842,,,,,,
first_down,first_down,play,boolean,0.9538,0.8231,,,,,,
touchdown,touchdown,play,boolean,0.9979,0.9531,,,,,,
ep,expected_points,play,continuous,,0.9545,,,,,,
epa,expected_points_added,play,continuous,,0.7898,,,,,,
epa_success,expected_points_added_success,play,boolean,0.9329,0.7824,,,,,,
formation_left,formation_left,play,categorical,0.992,0.9781,,,,,,
interception_caught_frame,interception_caught,player_frame,boolean,0.9984,0.3241,,,"['COVERAGE', 'PASS RUSH']",,,
run_gap_outcome_frame,run_gap_outcome,frame,categorical,0.6615,0.4304,RUN,,,,,
run_gap_outcome_side_frame,run_gap_outcome_side,frame,categorical,0.8548,0.6354,RUN,,,,,
run_gap_changed_frame,run_gap_changed,frame,boolean,0.8711,0.2031,RUN,,,,,
run_side_frame,run_side,frame,categorical,0.9295,0.8097,RUN,,,,,
trick_played_frame,trick_played,frame,boolean,0.9923,0.6955,,,,,,
stunt_frame,stunt,frame,boolean,0.9317,0.6437,,,,,,
blitz_frame,blitz,frame,boolean,0.9328,0.7015,,,,,,
pass_outcome_frame,pass_outcome,frame,categorical,0.7345,0.3852,PASS,,,,,
yards_gained_frame,yards_gained,frame,continuous,,0.5717,,,,,,
first_down_frame,first_down,frame,boolean,0.8014,0.402,,,,,,
touchdown_frame,touchdown,frame,boolean,0.9697,0.4125,,,,,,
